site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
Andros,3292,2016,10.8,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,475,2016,10.8,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3292,2016,10.8,25,1,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
Andros,3292,2016,10.8,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,448,2016,10.8,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,448,2016,10.8,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Conception,247,2016,10.89,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,456,2016,11,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,456,2016,11,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,231,2016,11.17,25,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,458,2016,11.3,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3323,2016,11.6,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3323,2016,11.6,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,460,2016,11.7,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,262,2016,11.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,460,2016,11.7,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
Andros,461,2016,11.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,460,2016,11.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,416,2016,11.73,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,436,2016,11.76,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,470,2016,11.8,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,470,2016,11.8,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Conception,252,2016,11.97,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,252,2016,11.97,25,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
Conception,229,2016,12,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,527,2016,12,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,229,2016,12,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,414,2016,12.18,25,1,Batoidea,Unknown,sp.,Unknown Ray
San Salvador,414,2016,12.18,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,414,2016,12.18,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,488,2016,12.3,25,1,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
Andros,530,2016,12.4,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,530,2016,12.4,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,433,2016,12.45,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
San Salvador,433,2016,12.45,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,446,2016,12.5,25,1,Urotrygonidae,Urobatis,jamaicensis,Yellow round ray
Andros,483,2016,12.6,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,487,2016,12.8,25,1,Carcharhinidae,Unknown,sp.,Requiem Shark
Andros,3317,2016,13.2,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3317,2016,13.2,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,474,2016,13.7,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,474,2016,13.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,453,2016,13.9,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,524,2016,14,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3321,2016,14.1,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
